Fin ID,num_images
AN17132907,0
PR18111202,0
FAR18101103,0
PR18101003,0
FAR18101603,0
FAR18101702,0
FAR18101701,0
FAR18101703,0
FAR18101704,0
PR18111004,0
AN18110201,0
FAR18111401,0
FAR18111403,0
PR18101901,0
PR18101902,0
PR18101904,0
PR18110107,0
PR18102702,0
PR18103101,0
PR18103102,0
PR18103103,0
PR18110103,0
PR18110105,0
PR18110301,0
PR18110303,0
PR18110802,0
PR18110807,0
PR18110808,0
PR18110904,0
PR18111002,0
PR18111206,0
PR18111205,0
PR18111602,0
PR18111805,0
PR18120803,0
AN18111702,0
AN18111703,0
AN18112703,0
AN18112602,0
AN18112504,0
AN18112505,0
AN18112502,0
PR94092802,0
PR94092801,0
PR97102601,0
PR97102701,0
PR97110501,0
PR99080801,0
FAR05112201,0
PR04120302,0
FAR05111701,0
